Date,Price,Open,High,Low,Volume,Chg%,Log_Price,Mean_12,First_Diff
2014-11-04,25810,25930,25965,25725,220,-0.22,10.15851729271266,10.19310776786825,-0.0022446698538249876
2014-11-05,25348,25578,26340,25201,980,-1.79,10.140455110443408,10.18691942385829,-0.018062182269250826
2014-11-06,25467,25448,25568,25411,8380,0.47,10.145138775406078,10.180841047617568,0.004683664962669809
2014-11-07,25926,25475,25970,25172,30780,1.8,10.163001605159987,10.1764370111824,0.017862829753909182
2014-11-10,25719,25949,26070,25670,15440,-0.8,10.154985297346865,10.17257183179761,-0.008016307813122125
2014-11-11,25793,25632,25861,25434,19180,0.29,10.15785841626691,10.168874963586527,0.002873118920044604
2014-11-12,25794,25798,25940,25735,17110,0.0,10.157897185724337,10.165042362613915,3.876945742753435e-05
2014-11-13,25827,25849,25920,25689,20230,0.13,10.159175735326064,10.161622333714108,0.0012785496017269082
2014-11-14,26458,25791,26519,25585,33820,2.44,10.183313849022326,10.160353289522858,0.024138113696261954
2014-11-16,26411,26411,26411,26411,0,-0.18,10.181535869019624,10.160463796545196,-0.0017779800027017956
2014-11-17,26319,26370,26499,26275,20730,-0.35,10.178046390796494,10.161723957482604,-0.0034894782231305044
2014-11-18,26587,26367,26756,26367,24600,1.02,10.188177653501853,10.164008598393885,0.010131262705359134
2014-11-19,26710,26548,26840,26235,33870,0.46,10.192793306104006,10.166864932843163,0.00461565260215302
2014-11-20,26459,26620,26620,26375,26020,-0.94,10.183351644059842,10.170439643977867,-0.00944166204416419
2014-11-21,26390,26509,26623,26340,26750,-0.26,10.18074042949737,10.173406448485473,-0.002611214562472597
2014-11-24,26473,26462,26539,26420,15020,0.31,10.183880624651032,10.175146366776394,0.003140195153662262
2014-11-25,26338,26480,26537,26322,19750,-0.51,10.178768042270166,10.177128262186669,-0.00511258238086576
2014-11-26,26397,26395,26440,26330,10020,0.22,10.18100564631367,10.179057198023898,0.002237604043504149
2014-11-27,26237,26355,26355,26170,14220,-0.61,10.174925907253643,10.18047625815134,-0.006079739060027123
2014-11-28,25853,26150,26244,25815,15530,-1.46,10.16018192736142,10.18056010748762,-0.014743979892223535
2014-12-01,26546,25803,26627,25123,5730,2.68,10.186634356186147,10.180836816417939,0.026452428824727647
2014-12-02,26224,26438,27050,26087,1150,-1.21,10.17443030098361,10.18024468574827,-0.012204055202536424
2014-12-03,26496,26309,26699,26236,90,1.04,10.184749057184986,10.180803241280644,0.010318756201375123
2014-12-04,26488,26299,26850,26299,60,-0.03,10.184447079227082,10.180492360091081,-0.00030197795790343207
